id,name,intro,out,in,pagerank,centrality
113,社区住房改造,群众日常“吃住行”中有关“住”的话题，包括社区服务机构建设和住房保障方面。,1,11,0.021094712,0.075
114,企业培训与就业,关注就业问题，提升就业率，促进企业新员工的培训体系发展。,1,5,0.008771702,0.0375
115,中医,,1,0,0.0025209,0.00625
116,中药,,1,0,0.0025209,0.00625
117,农民工,,1,0,0.0025209,0.00625
118,政策措施,,1,0,0.0025209,0.00625
119,残疾人,,1,0,0.0025209,0.00625
120,治理,,1,0,0.0025209,0.00625
121,住房,,1,0,0.0025209,0.00625
122,居民,,1,0,0.0025209,0.00625
123,改造,,1,0,0.0025209,0.00625
124,机构,,1,0,0.0025209,0.00625
125,供水,,1,0,0.0025209,0.00625
126,公交,,1,0,0.0025209,0.00625
127,小区,,1,0,0.0025209,0.00625
128,工程,,1,0,0.0025209,0.00625
129,培训,,1,0,0.0025209,0.00625
130,就业,,1,0,0.0025209,0.00625
131,健康,,1,0,0.0025209,0.00625
132,医疗,,1,0,0.0025209,0.00625
133,医院,,1,0,0.0025209,0.00625
134,患者,,1,0,0.0025209,0.00625
135,诊疗,,1,0,0.0025209,0.00625
136,国际栏目,人民日报国际专栏，刊登国际大事要事。,0,5,0.06208971,0.03125
137,日本福岛核废水排放,表达对日方核废水排放的决定的谴责以及反对意见，督促日本政府承担国际责任。,1,5,0.012164995,0.0375
138,发展中国家人权问题,支持其他发展中国家的建设，同时提供疫苗帮助，保障人权。,1,10,0.020023146,0.06875
139,海洋开发及保护,对海洋进行开发与保护，依靠科技设备发展海洋经济。,1,9,0.013486593,0.0625
140,国际文化交流,与其他国家展开学校间的文化交流活动。,1,8,0.01484391,0.05625
141,疫情间的国际合作,1.推动疫情期间的世界经济复苏政策 2.对外疫苗政策,1,8,0.009557517,0.05625
142,废水,,1,0,0.0025209,0.00625
143,日本,,1,0,0.0025209,0.00625
144,日本政府,,1,0,0.0025209,0.00625
145,福岛,,1,0,0.0025209,0.00625
146,人权,,1,0,0.0025209,0.00625
147,博物馆,,1,0,0.0025209,0.00625
148,地区,,1,0,0.0025209,0.00625
149,提供,,1,0,0.0025209,0.00625
150,政府,,1,0,0.0025209,0.00625
151,移民,,1,0,0.0025209,0.00625
152,非洲,,1,0,0.0025209,0.00625
153,数字,,1,0,0.0025209,0.00625
154,智能,,1,0,0.0025209,0.00625
155,海洋,,1,0,0.0025209,0.00625
156,中国共产党,,1,0,0.0025209,0.00625
157,学校,,1,0,0.0025209,0.00625
158,学生,,1,0,0.0025209,0.00625
159,孩子,,1,0,0.0025209,0.00625
160,艺术,,1,0,0.0025209,0.00625
161,复苏,,1,0,0.0025209,0.00625
